iter	Passed	Remaining
407	5461	7923
408	5474	7910
409	5487	7896
410	5500	7882
411	5513	7868
412	5526	7854
413	5539	7840
414	5552	7827
415	5565	7813
416	5579	7799
417	5591	7785
418	5605	7772
419	5618	7758
420	5631	7744
421	5646	7733
422	5659	7720
423	5674	7708
424	5687	7694
425	5700	7681
426	5713	7667
427	5727	7653
428	5740	7640
429	5755	7629
430	5768	7614
431	5781	7601
432	5794	7587
433	5807	7573
434	5820	7559
435	5833	7545
436	5846	7532
437	5859	7518
438	5872	7504
439	5885	7490
440	5898	7477
441	5911	7463
442	5925	7450
443	5939	7437
444	5952	7423
445	5965	7410
446	5978	7396
447	5991	7382
448	6006	7371
449	6020	7357
450	6033	7344
451	6046	7330
452	6059	7316
453	6072	7303
454	6086	7289
455	6100	7277
456	6113	7264
457	6126	7250
458	6140	7237
459	6154	7225
460	6167	7211
461	6182	7199
462	6196	7186
463	6209	7173
464	6222	7159
465	6235	7145
466	6248	7132
467	6263	7119
468	6276	7106
469	6289	7091
470	6302	7078
471	6315	7064
472	6328	7051
473	6341	7037
474	6354	7023
475	6369	7011
476	6382	6998
477	6396	6984
478	6409	6971
479	6422	6957
480	6435	6944
481	6449	6931
482	6464	6919
483	6477	6905
484	6490	6891
485	6503	6877
486	6517	6865
487	6530	6851
488	6543	6837
489	6556	6823
490	6568	6809
491	6582	6796
492	6595	6782
493	6608	6769
494	6621	6755
495	6634	6741
496	6647	6728
497	6660	6714
498	6673	6700
499	6687	6687
500	6700	6673
501	6713	6659
502	6727	6647
503	6740	6633
504	6753	6619
505	6766	6605
506	6780	6593
507	6793	6579
508	6806	6566
509	6820	6552
510	6833	6539
511	6846	6525
512	6860	6512
513	6873	6498
514	6886	6485
515	6899	6471
516	6912	6457
517	6925	6444
518	6938	6430
519	6951	6416
520	6964	6403
521	6977	6389
522	6992	6377
523	7005	6363
524	7019	6350
525	7035	6339
526	7052	6329
527	7070	6320
528	7084	6307
529	7099	6295
530	7113	6282
531	7128	6270
532	7141	6257
533	7154	6243
534	7167	6229
535	7180	6215
536	7193	6202
537	7206	6188
538	7219	6175
539	7232	6161
540	7246	6148
541	7260	6134
542	7274	6122
543	7287	6108
544	7301	6095
545	7314	6081
546	7327	6068
547	7340	6054
548	7354	6041
549	7368	6028
550	7381	6015
551	7395	6002
552	7410	5989
553	7424	5977
554	7440	5965
555	7453	5952
556	7466	5938
557	7479	5924
558	7492	5911
559	7506	5897
560	7519	5884
561	7533	5871
562	7546	5857
563	7559	5844
564	7572	5830
565	7585	5816
566	7598	5802
567	7613	5790
568	7626	5776
569	7639	5763
570	7652	5749
571	7665	5735
572	7678	5722
573	7693	5709
574	7706	5696
575	7719	5682
576	7732	5668
577	7744	5654
578	7757	5640
579	7770	5627
580	7783	5613
581	7796	5599
582	7810	5586
583	7822	5572
584	7835	5558
585	7849	5545
586	7862	5531
587	7874	5517
588	7889	5504
589	7904	5493
590	7917	5479
591	7930	5465
592	7943	5452
593	7956	5438
594	7970	5425
595	7984	5412
596	7997	5398
597	8011	5385
598	8025	5372
599	8038	5358
600	8052	5345
601	8065	5332
602	8078	5318
603	8091	5304
604	8105	5292
605	8120	5279
606	8134	5266
607	8148	5253
608	8161	5239
609	8174	5226
610	8187	5212
611	8200	5199
612	8215	5186
613	8228	5172
614	8240	5158
615	8254	5145
616	8267	5131
617	8280	5118
618	8292	5104
619	8305	5090
620	8318	5077
621	8331	5063
622	8346	5051
623	8361	5038
624	8373	5024
625	8388	5011
626	8400	4997
627	8413	4983
628	8428	4971
629	8441	4957
630	8455	4944
631	8468	4931
632	8481	4917
633	8494	4903
634	8509	4891
635	8522	4877
636	8536	4864
637	8551	4851
638	8564	4838
639	8577	4824
640	8592	4812
641	8605	4798
642	8618	4785
643	8631	4771
644	8644	4757
645	8657	4744
646	8670	4730
647	8684	4717
648	8697	4703
649	8710	4690
650	8723	4676
651	8736	4663
652	8749	4649
653	8762	4636
654	8776	4622
655	8788	4608
656	8802	4595
657	8816	4582
658	8829	4568
659	8842	4555
660	8855	4541
661	8868	4528
662	8881	4514
663	8894	4500
664	8908	4487
665	8921	4474
666	8934	4460
667	8947	4447
668	8960	4433
669	8973	4420
670	8988	4407
671	9001	4393
672	9015	4380
673	9028	4366
674	9041	4353
675	9054	4339
676	9067	4326
677	9080	4312
678	9093	4299
679	9108	4286
680	9121	4272
681	9134	4259
682	9149	4246
683	9162	4232
684	9175	4219
685	9188	4206
686	9202	4192
687	9215	4179
688	9228	4165
689	9242	4152
690	9255	4138
691	9269	4125
692	9282	4112
693	9295	4098
694	9308	4085
695	9321	4071
696	9334	4058
697	9348	4044
698	9361	4031
699	9375	4018
700	9388	4004
701	9401	3991
702	9415	3977
703	9429	3964
704	9442	3950
705	9455	3937
706	9468	3924
707	9482	3910
708	9494	3897
709	9509	3884
710	9522	3870
711	9536	3857
712	9549	3843
713	9562	3830
714	9575	3816
715	9588	3803
716	9601	3789
717	9614	3776
718	9627	3762
719	9640	3749
720	9653	3735
721	9666	3722
722	9679	3708
723	9692	3695
724	9706	3681
725	9719	3668
726	9732	3654
727	9745	3641
728	9759	3628
729	9772	3614
730	9786	3601
731	9798	3587
732	9812	3574
733	9826	3561
734	9839	3547
735	9852	3534
736	9865	3520
737	9878	3507
738	9891	3493
739	9905	3480
740	9918	3466
741	9931	3453
742	9944	3439
743	9957	3426
744	9971	3413
745	9984	3399
746	9997	3386
747	10010	3372
748	10024	3359
749	10037	3345
750	10051	3332
751	10064	3319
752	10077	3305
753	10090	3292
754	10103	3278
755	10116	3265
756	10129	3251
757	10142	3238
758	10155	3224
759	10169	3211
760	10183	3198
761	10198	3185
762	10211	3171
763	10224	3158
764	10237	3144
765	10250	3131
766	10263	3117
767	10277	3104
768	10290	3091
769	10304	3078
770	10317	3064
771	10330	3051
772	10343	3037
773	10356	3024
774	10371	3011
775	10384	2997
776	10397	2984
777	10412	2971
778	10425	2957
779	10438	2944
780	10451	2930
781	10465	2917
782	10478	2903
783	10492	2890
784	10506	2877
785	10519	2863
786	10531	2850
787	10544	2836
788	10557	2823
789	10572	2810
790	10586	2797
791	10599	2783
792	10612	2770
793	10625	2756
794	10638	2743
795	10652	2730
796	10665	2716
797	10679	2703
798	10692	2689
799	10705	2676
800	10718	2662
801	10731	2649
802	10744	2636
803	10757	2622
804	10770	2609
805	10783	2595
806	10796	2582
807	10810	2568
808	10823	2555
809	10836	2541
810	10849	2528
811	10862	2515
812	10876	2501
813	10889	2488
814	10902	2474
815	10916	2461
816	10931	2448
