iter	Logloss
0	0.6814605433
1	0.670240377
2	0.6601895257
3	0.6491114738
4	0.6402705518
5	0.6317686784
6	0.6223774469
7	0.614125344
8	0.6059320511
9	0.5979256944
10	0.5911266914
11	0.5840167264
12	0.5780889737
13	0.5710894842
14	0.5649180946
15	0.5591247569
16	0.5539815846
17	0.5483066283
18	0.5430154722
19	0.538253691
20	0.5342575654
21	0.5293091419
22	0.5248050155
23	0.5204909865
24	0.5168031093
25	0.5127744048
26	0.5093585199
27	0.5055557925
28	0.5025626276
29	0.4997220939
30	0.4973154659
31	0.4944510169
32	0.4921738293
33	0.4896444894
34	0.4875385815
35	0.4852682434
36	0.4826540903
37	0.4808346074
38	0.4786228424
39	0.4763691599
40	0.4743557311
41	0.4722295901
42	0.4705566799
43	0.4687583261
44	0.4668841789
45	0.4648991279
46	0.4633737905
47	0.4618222919
48	0.4603806218
49	0.4588503176
50	0.4572163027
51	0.4556540206
52	0.4545124243
53	0.4530602047
54	0.4522754687
55	0.4508977774
56	0.4499090117
57	0.4486271405
58	0.4472368337
59	0.4458972555
60	0.4448947339
61	0.4439119862
62	0.4429273136
63	0.4420109537
64	0.4410251468
65	0.4403700999
66	0.4393772243
67	0.4386024527
68	0.437837436
69	0.436806906
70	0.4358238704
71	0.434942242
72	0.4340668168
73	0.433042552
74	0.4320980951
75	0.4311509077
76	0.4304359838
77	0.4297319881
78	0.428920891
79	0.428236646
80	0.4276762201
81	0.4270119152
82	0.426369206
83	0.4255895379
84	0.4248887579
85	0.4242132669
86	0.4234127271
87	0.4228009005
88	0.4222210834
89	0.421678156
90	0.4209771825
91	0.4203374842
92	0.4196776467
93	0.4192332184
94	0.4186113928
95	0.4179932778
96	0.4176179289
97	0.4171006763
98	0.4165869163
99	0.415810083
100	0.4153502958
101	0.4145938549
102	0.4140579053
103	0.4135692767
104	0.4130282881
105	0.4125870129
106	0.4120245465
107	0.411495928
108	0.4112178074
109	0.4107645504
110	0.4104122325
111	0.4099086207
112	0.4094344799
113	0.4090315605
114	0.4086453017
115	0.4080476369
116	0.4076185188
117	0.4071353923
118	0.406676395
119	0.4061817911
120	0.4057633817
121	0.4053273315
122	0.4050261574
123	0.4045782545
124	0.4040516399
125	0.4035729555
126	0.4032069016
127	0.4027049963
128	0.4023764852
129	0.4020066017
130	0.4014548763
131	0.4010561753
132	0.4004411968
133	0.3999664695
134	0.3996949885
135	0.3992754048
136	0.3989348129
137	0.3984428944
138	0.3980463976
139	0.39778692
140	0.3974650026
141	0.3971212228
142	0.3968235628
143	0.3963844356
144	0.3960462681
145	0.3957412214
146	0.3954458599
147	0.395054436
148	0.3947461988
149	0.3943823486
150	0.3941209316
151	0.3937507099
152	0.3933246303
153	0.3929914992
154	0.3925245789
155	0.3921461996
156	0.3917441716
157	0.3913717752
158	0.3910709601
159	0.3906447506
160	0.390262188
161	0.3899376807
162	0.3895456617
163	0.389256977
164	0.3889242689
165	0.3886717555
166	0.3882875461
167	0.3879194083
168	0.3876146569
169	0.3871743584
170	0.3869462584
171	0.3866683438
172	0.3863685499
173	0.3861246942
174	0.3857596737
175	0.3854455235
176	0.3851311213
177	0.3849042689
178	0.3846218746
179	0.3842216231
180	0.3838267152
181	0.3835480598
182	0.3832996851
183	0.3830696917
184	0.3828511685
185	0.3825026466
186	0.3822412693
187	0.3819736629
188	0.3817447219
189	0.3815029032
190	0.3812141794
191	0.3808295659
192	0.380509644
193	0.3802090968
194	0.3798906499
195	0.3796263516
196	0.3793328576
197	0.3790550167
198	0.3788050551
199	0.3784108376
200	0.3781547552
201	0.3779576387
202	0.3776577477
203	0.3774354563
204	0.37707247
205	0.3768451638
206	0.3766442459
207	0.3764100939
208	0.3761638063
209	0.3759977319
210	0.3757462813
211	0.3754297631
212	0.3752038372
213	0.3750048002
214	0.3748276816
215	0.3745641348
216	0.3743976452
217	0.3742105769
218	0.3740381818
219	0.3737340355
220	0.373432236
221	0.3732540872
222	0.3729809163
223	0.3728366634
224	0.3725414802
225	0.3723007991
226	0.3720179956
227	0.3718304955
228	0.3716097443
229	0.3714823153
230	0.3712307723
231	0.3709408223
232	0.3707265629
233	0.3705001513
234	0.3702896157
235	0.3700063239
236	0.3697442458
237	0.3695510554
238	0.369333711
239	0.3691470219
240	0.3689987027
241	0.3687660178
242	0.3685712163
243	0.368348512
244	0.3681832695
245	0.3680224911
246	0.3678066345
247	0.3675403738
248	0.3673930406
249	0.3671983292
250	0.366988647
251	0.3667753398
252	0.3665516507
253	0.3663101281
254	0.3661223752
255	0.3659054827
256	0.3657151679
257	0.3654813389
258	0.3652809209
259	0.3650061379
260	0.3648489655
261	0.3646179445
262	0.3643837913
263	0.3642718145
264	0.3640806434
265	0.3638402135
266	0.3635799566
267	0.3634056046
268	0.363246312
269	0.3630628473
270	0.3627996098
271	0.3625661663
272	0.3624022876
273	0.3621831047
274	0.361927763
275	0.3617525043
276	0.3615158574
277	0.3612825658
278	0.3611302103
279	0.360910939
280	0.3607351292
281	0.360500199
282	0.3603042633
283	0.3601514821
284	0.3599061486
285	0.3597362836
286	0.3595498798
287	0.3591819916
288	0.3589855858
289	0.3587870247
290	0.3586182776
291	0.3584184946
292	0.3581842448
293	0.358058747
294	0.3578961168
295	0.3577621805
296	0.3575597679
297	0.3573392094
298	0.3570615152
299	0.3568840999
300	0.3567123311
301	0.3565331064
302	0.3562914882
303	0.356071172
304	0.3558633499
305	0.3556333727
306	0.3554241751
307	0.3552692149
308	0.3551141742
309	0.3550151496
310	0.3547919812
311	0.3546698497
312	0.354464961
313	0.3542802298
314	0.3540969206
315	0.3538606897
316	0.3537482773
317	0.3535583564
318	0.3533683314
319	0.3532301975
320	0.3530679128
321	0.3528984296
322	0.3526164343
323	0.3524296053
324	0.3522636405
325	0.3520605562
326	0.3519182615
327	0.3516921616
328	0.3515045868
329	0.3513567432
330	0.3512010572
331	0.351020304
332	0.3508162307
333	0.3506153923
334	0.3504696651
335	0.3502204481
336	0.3500226188
337	0.3497889636
338	0.3496009053
339	0.3494339214
340	0.3492143724
341	0.3490609499
342	0.348852421
343	0.3486510767
344	0.3485040908
345	0.3483129515
346	0.348174147
347	0.3480098149
348	0.3478453159
349	0.3476772337
350	0.3474516573
351	0.3472561606
352	0.3470811907
353	0.346859825
354	0.3467078199
355	0.3465668023
356	0.3463829096
357	0.3461447414
358	0.3459873208
359	0.3458247329
360	0.3456775851
361	0.3454618695
362	0.3452789314
363	0.3449952427
364	0.3448670017
365	0.3446988969
366	0.3445148341
367	0.3443590758
368	0.3441687799
369	0.3439806346
370	0.3437557314
371	0.3435697489
372	0.343356945
373	0.3431802064
374	0.3429555479
375	0.3427621548
376	0.3425928798
377	0.3423946293
378	0.3422063115
379	0.3420692931
380	0.3419012663
381	0.3417221264
382	0.3415264027
383	0.3413457592
384	0.3411716667
385	0.3409890529
386	0.3408347624
387	0.3406544624
388	0.340467405
389	0.3402786677
390	0.3400815552
391	0.3398449859
392	0.3396670797
393	0.3394902708
394	0.3393565543
395	0.3391542304
396	0.3389661921
397	0.3388273555
398	0.3386324495
399	0.338434642
400	0.3382293463
401	0.3380750388
402	0.3378793637
403	0.3376997925
404	0.3375163536
405	0.3372814321
406	0.3369561762
407	0.3367855982
408	0.3366017357
409	0.3363521918
410	0.3361936559
411	0.3360379358
412	0.3359048618
413	0.3356998349
414	0.3354474058
415	0.3352792802
416	0.3350926496
417	0.334948814
418	0.3347104622
419	0.3345348085
420	0.3342505383
421	0.3339487009
422	0.3337201183
423	0.3335342204
424	0.3333821054
425	0.3331931188
426	0.3329690508
427	0.3327899315
428	0.3325563473
429	0.332411844
430	0.3322412247
431	0.3320719233
432	0.3319149173
433	0.3317246421
434	0.3315234307
435	0.3313977084
436	0.3312341037
437	0.3310528198
438	0.3307868064
439	0.3306524243
440	0.3305226043
441	0.330376266
442	0.3302614776
443	0.3301283149
444	0.3299556622
445	0.329743115
446	0.3296187308
447	0.3294310308
448	0.3292759314
449	0.3290926291
450	0.3288883019
451	0.3287312312
452	0.3284988244
453	0.3283349426
454	0.328115279
455	0.3279944834
456	0.3277644612
457	0.3276326323
458	0.3274753186
459	0.3271773566
460	0.327057769
461	0.3268726719
462	0.3266926613
463	0.3264341416
464	0.3263149535
465	0.3261131954
466	0.3259814308
467	0.3258669784
468	0.3256620564
469	0.3255570949
470	0.3254050213
471	0.3252403117
472	0.3250563457
473	0.3249389722
474	0.3247617519
475	0.3245142537
476	0.3243238433
477	0.3240924563
478	0.3238955898
479	0.3236689572
480	0.3234745282
481	0.323312817
482	0.3231944358
483	0.3229632451
484	0.3227555547
485	0.3226463311
486	0.3224747422
487	0.3222707333
488	0.3221479577
489	0.3220497699
490	0.3219524885
491	0.3216339189
492	0.3214254821
493	0.3211889256
494	0.3209851154
495	0.3207916457
496	0.3206319324
497	0.3205277777
498	0.3203299878
499	0.3201009565
500	0.3199752373
501	0.319822018
502	0.3196652935
503	0.3195073159
504	0.3193983623
505	0.3191838311
506	0.3190814177
507	0.3188760754
508	0.3185981626
509	0.3183374295
510	0.3181680864
511	0.3180328346
512	0.3179012404
513	0.3177806148
514	0.3175975024
515	0.3173646081
516	0.3171632235
517	0.3169975833
518	0.3169086884
519	0.3166873689
520	0.3164028382
521	0.3162500162
522	0.3160813554
523	0.3159369934
524	0.3157329389
525	0.3154867491
526	0.3153604301
527	0.3151928389
528	0.315102672
529	0.3149115538
530	0.3148055844
531	0.3146429679
532	0.3144516016
533	0.3142775696
534	0.3141897493
535	0.3140578807
536	0.313932298
537	0.3137993659
538	0.3136208989
539	0.3134295998
540	0.3132767888
541	0.313179713
542	0.3129669576
543	0.312808675
544	0.312667658
545	0.3125607843
546	0.3123679647
547	0.3122622841
548	0.3121706374
549	0.3120099452
550	0.3118067842
551	0.3116246956
552	0.3114444482
553	0.3113027132
554	0.3111101563
555	0.3109412097
556	0.310801799
557	0.3105684651
558	0.3103347756
559	0.3101821029
560	0.3100935763
561	0.3100063917
562	0.3099275946
563	0.3098501731
564	0.3097096136
565	0.3096338689
566	0.3095199524
567	0.3093589802
568	0.3091840426
569	0.308953231
570	0.3088563197
571	0.3087817833
572	0.3086715561
573	0.3085788404
574	0.308411963
575	0.3082255653
576	0.3080743719
577	0.307888069
578	0.3077231577
579	0.3075141259
580	0.3073520991
581	0.3072579054
582	0.3070684232
583	0.3069253568
584	0.3067550003
585	0.3065920303
586	0.3063363648
587	0.3062574671
588	0.3061019963
589	0.3059557986
590	0.3057942992
591	0.3056408731
592	0.3054137636
593	0.3052635621
594	0.3051090599
595	0.3050296591
596	0.3048813583
597	0.3047733803
598	0.3046974364
